

SOFYA,23/01/17 22:46:55,Clock In
SOFYA,23/01/17 22:47:14,Clock Out
SOFYA,23/01/17 22:53:22,Clock in
SOFYA,23/01/17 22:55:24,Clock Out
VIKA,23/01/17 23:02:08,Clock in
VIKA,23/01/17 23:02:21,Clock Out
SOFYA,23/01/17 23:02:48,Clock in
SOFYA,23/01/17 23:03:44,Clock in
SOFYA,23/01/17 23:03:50,Clock Out
SOFYA,23/01/17 23:04:00,Clock in
SOFYA,23/01/17 23:04:06,Clock Out
SOFYA,23/01/17 23:07:17,Clock in
SOFYA,23/01/17 23:07:26,Clock Out
SOFYA,23/01/17 23:09:49,Clock in
SOFYA,23/01/17 23:09:59,Clock Out
SOFYA,23/01/17 23:11:53,Clock in
SOFYA,23/01/17 23:14:08,Clock Out
SOFYA,23/01/17 23:14:17,Clock in
SOFYA,23/01/17 23:14:22,Clock Out
SOFYA,23/01/17 23:19:25,Clock in
SOFYA,23/01/17 23:19:31,Clock Out
SOFYA,23/01/17 23:20:39,Clock In
SOFYA,23/01/17 23:20:44,Clock Out
SOFYA,23/01/17 23:21:46,Clock In
SOFYA,23/01/17 23:21:50,Clock Out
SOFYA,23/01/17 23:23:15,Clock In
SOFYA,23/01/17 23:23:21,Clock Out
SOFYA,23/01/17 23:24:06,Clock In
SOFYA,23/01/17 23:24:19,Clock Out
SOFYA,23/01/17 23:25:15,Clock In
SOFYA,23/01/17 23:25:24,Clock Out
SOFYA,23/01/17 23:26:21,Clock In
SOFYA,23/01/17 23:26:26,Clock Out
SOFYA,23/01/17 23:27:18,Clock In
SOFYA,23/01/17 23:27:24,Clock Out
SOFYA,23/01/17 23:34:39,Clock In
SOFYA,23/01/17 23:34:53,Clock Out
SOFYA,23/01/17 23:53:44,Clock In
SOFYA,23/01/17 23:53:49,Clock Out
SOFYA,23/01/18 11:09:22,Clock In
SOFYA,23/01/18 11:09:29,Clock Out
KSENIA,23/01/18 15:51:40,Clock In
KSENIA,23/01/18 15:51:54,Clock Out
SOFYA,23/01/18 16:02:44,Clock In
SOFYA,23/01/18 16:02:56,Clock Out
LUIZA,23/01/18 16:03:20,Clock In
LUIZA,23/01/18 16:03:28,Clock Out
